word	raw_frequency	freq_per_m	zipf	num_letters	orth_density	orth_density_nbrs	OLD20	orth_nbr_zipf_m	orth_nbr_zipf_SD	orth_C	IPA	phon_density	phon_density_nbrs	PLD20	phon_nbr_zipf_m	phon_nbr_zipf_SD	phon_C	pg_density	pg_density_nbrs	PGLD20	pg_nbr_zipf_m	pg_nbr_zipf_SD	pg_C	num_phonemes
ریسپانس	1	0.7624566352788685	2.882215148222559	7	1	رسپانس	3.5	3.1832451438865403	0.0	0.0	reːspaːns	0.0		3.85			0.0	0.0		3.85			0.0	9
پیغمبروں	1	0.7624566352788685	2.882215148222559	8	0		3.85			0.0	peːɣʌmbərõː	0.0		5.8			0.0	0.0		5.8			0.0	12
مصیبتیں	1	0.7624566352788685	2.882215148222559	7	0		3.65			0.0	məʂiːbtẽː	0.0		4.4			0.0	0.0		4.6			0.0	10
پویلین	1	0.7624566352788685	2.882215148222559	6	1	سویلین	2.35	3.1832451438865403	0.0	0.0	paʋiliːn	0.0		3.65			0.0	0.0		3.65			0.0	8
اٹھایئں	1	0.7624566352788685	2.882215148222559	7	0		2.9			0.0	aʈʰaːjan	0.0		3.5			0.0	0.0		3.5			0.0	8
بالٹک	1	0.7624566352788685	2.882215148222559	5	1	بالٹی	1.95	2.882215148222559	0.0	0.0	baːləʈək	0.0		3.5			0.0	0.0		3.55			0.0	8
ہیکٹر	1	0.7624566352788685	2.882215148222559	5	3	ہیکر, ریکٹر, ایکٹر	1.85	3.3839318076625275	0.2838138016994108	0.3333333333333333	heːkʈər	2.0	heːkər, reːkʈər	2.35	3.4842751395505216	0.3010299956639812	0.0	2.0	ہیکر(heːkər), ریکٹر(reːkʈər)	2.4	3.4842751395505216	0.3010299956639812	0.0	7
ہعہہا	1	0.7624566352788685	2.882215148222559	5	0		2.7			0.0	haːhhaː	1.0	haːhaː	2.5	2.882215148222559	0.0	0.0	0.0		2.9			0.0	7
عسکری	1	0.7624566352788685	2.882215148222559	5	1	عسکریت	2.0	2.882215148222559	0.0	0.0	askariː	0.0		2.85			0.0	0.0		3.05			0.0	7
اپس	1	0.7624566352788685	2.882215148222559	3	8	اس, واپس, اپ, ایس, پس, چپس, الپس, آپس	1.6	4.222048453272501	1.1740728148855022	0.2142857142857142	apəs	1.0	aːpəs	1.95	2.882215148222559	0.0	0.0	1.0	آپس(aːpəs)	1.95	2.882215148222559	0.0	0.0	4
لاٹوں	1	0.7624566352788685	2.882215148222559	5	2	لاوں, لاتوں	1.9	2.882215148222559	0.0	1.0	laːʈõː	2.0	laːõː, laːtõː	1.9	2.882215148222559	0.0	1.0	2.0	لاوں(laːõː), لاتوں(laːtõː)	1.9	2.882215148222559	0.0	1.0	7
چپکی	1	0.7624566352788685	2.882215148222559	4	5	آپکی, چپٹی, پکی, چمکی, چوکی	1.75	3.1582573965648804	0.363928455046031	0.2	cɪpki	0.0		2.75			0.0	0.0		2.75			0.0	5
بڑھتا	1	0.7624566352788685	2.882215148222559	5	6	بڑھتی, بڑھا, بڑھتے, پڑھتا, بڑھیا, بڑھاتا	1.7	3.2627653530064844	0.3496231922825693	0.1333333333333333	bar.htaː	3.0	bar.haː, bar.hteː, bar.hjaː	2.4	3.241942230238434	0.3203787894332354	0.3333333333333333	3.0	بڑھا(bar.haː), بڑھتے(bar.hteː), بڑھیا(bar.hjaː)	2.4	3.241942230238434	0.3203787894332354	0.3333333333333333	7
ہاف	1	0.7624566352788685	2.882215148222559	3	15	ہاں, صاف, ہا, ہدف, ہار, ہان, ہاط, ہال, ہای, ہاٹ, ہاپ, ہاک, ہاہ, ہاد, اف	1.25	3.694152314310213	0.7074110255928975	0.638095238095238	haːf	24.0	maːf, ʂaːf, haː, haːl, haː, haːi, haːr, haːn, haːt, aːf, haːl, haːa, haː, haːi, haːʈ, haːp, haːk, haːt, haː, haːr, haːh, haːx, haːd, harf	1.0	3.36278680111845	0.4930797597375262	0.6630434782608695	19.0	صاف(ʂaːf), ہا(haː), ہا(haː), ہا(haː), ہا(haː), ہار(haːr), ہار(haːr), ہان(haːn), ہاط(haːt), ہاط(haːt), ہال(haːl), ہال(haːl), ہای(haːi), ہای(haːi), ہاٹ(haːʈ), ہاپ(haːp), ہاک(haːk), ہاہ(haːh), ہاد(haːd)	1.05	3.728418798408895	0.5042232936140807	0.8362573099415205	4
